Data,Time,Value
Percentage,0.22,0.0
Percentage,0.72,0.0
Percentage,1.22,0.0
Percentage,1.72,0.0
Percentage,2.22,0.0
Percentage,2.72,0.0
Percentage,3.22,0.0
Percentage,3.72,3.23
Percentage,4.22,17.89
Percentage,4.72,27.86
Percentage,5.22,36.36
Percentage,5.73,69.01
Percentage,6.23,80.06
Percentage,6.73,79.57
Percentage,7.23,96.68
Percentage,7.73,99.9
Percentage,8.23,100.0
Percentage,8.73,76.44
Percentage,9.23,74.68
Percentage,9.73,74.1
Percentage,10.23,59.04
Percentage,10.74,48.09
Percentage,11.24,42.42
Percentage,11.74,35.09
Percentage,12.24,24.54
Percentage,12.74,22.78
Percentage,13.24,22.97
Percentage,13.74,0.0
Percentage,14.24,0.0
Percentage,14.74,0.0
Percentage,15.24,0.0
Percentage,15.74,0.0
Percentage,16.25,0.0
Percentage,16.75,0.0
Percentage,17.25,0.0
Percentage,17.75,0.0
Percentage,18.25,0.0
Percentage,18.75,0.0
Percentage,19.25,0.0
Percentage,19.75,0.0
Percentage,20.25,0.0
Percentage,20.75,0.0
Percentage,21.25,0.0
Percentage,21.75,0.0
Percentage,22.25,0.0
Percentage,22.75,0.0
Distance,0.03,18.55
Distance,0.13,19.91
Distance,0.23,19.85
Distance,0.34,19.84
Distance,0.44,21.97
Distance,0.55,14.99
Distance,0.65,14.99
Distance,0.75,15.05
Distance,0.86,21.47
Distance,0.96,21.43
Distance,1.06,21.4
Distance,1.17,15.0
Distance,1.27,21.46
Distance,1.37,21.48
Distance,1.48,55.64
Distance,1.59,53.65
Distance,1.69,16.69
Distance,1.79,16.69
Distance,1.9,16.64
Distance,2.0,16.66
Distance,2.1,16.71
Distance,2.21,16.62
Distance,2.31,16.64
Distance,2.41,16.69
Distance,2.52,22.22
Distance,2.62,14.78
Distance,2.72,16.59
Distance,2.83,12.27
Distance,2.93,12.83
Distance,3.03,10.77
Distance,3.14,7.27
Distance,3.24,4.76
Distance,3.34,5.65
Distance,3.45,8.36
Distance,3.55,8.37
Distance,3.65,9.0
Distance,3.76,11.93
Distance,3.86,15.39
Distance,3.96,11.65
Distance,4.07,13.96
Distance,4.17,20.47
Distance,4.27,21.45
Distance,4.38,21.44
Distance,4.48,25.53
Distance,4.59,30.27
Distance,4.69,32.12
Distance,4.79,35.24
Distance,4.9,38.07
Distance,5.0,42.72
Distance,5.11,44.57
Distance,5.22,50.15
Distance,5.32,49.59
Distance,5.43,53.07
Distance,5.53,55.53
Distance,5.64,57.02
Distance,5.74,67.1
Distance,5.85,60.31
Distance,5.96,61.32
Distance,6.06,61.35
Distance,6.17,61.42
Distance,6.28,62.44
Distance,6.38,60.49
Distance,6.49,60.46
Distance,6.59,60.24
Distance,6.7,61.56
Distance,6.81,61.42
Distance,6.91,16.6
Distance,7.01,16.66
Distance,7.12,59.64
Distance,7.22,56.17
Distance,7.33,16.67
Distance,7.43,16.63
Distance,7.54,16.69
Distance,7.64,39.11
Distance,7.74,32.81
Distance,7.85,28.36
Distance,7.95,14.95
Distance,8.06,20.81
Distance,8.16,17.61
Distance,8.26,18.22
Distance,8.37,16.31
Distance,8.47,20.77
Distance,8.57,20.55
Distance,8.68,20.5
Distance,8.78,20.52
Distance,8.89,22.28
Distance,8.99,18.52
Distance,9.09,21.15
Distance,9.2,21.09
Distance,9.3,18.53
Distance,9.4,20.81
Distance,9.51,21.11
Distance,9.61,21.14
Distance,9.72,19.53
Distance,9.82,19.48
Distance,9.92,19.6
Distance,10.03,19.53
Distance,10.13,19.47
Distance,10.23,19.5
Distance,10.34,19.51
Distance,10.44,20.86
Distance,10.55,19.55
Distance,10.65,19.55
Distance,10.75,19.55
Distance,10.86,19.45
Distance,10.96,19.5
Distance,11.06,19.56
Distance,11.17,19.54
Distance,11.27,19.47
Distance,11.38,19.45
Distance,11.48,19.5
Distance,11.58,19.52
Distance,11.69,20.84
Distance,11.79,24.15
Distance,11.89,21.74
Distance,12.0,18.52
Distance,12.1,18.92
Distance,12.2,15.67
Distance,12.31,14.35
Distance,12.41,16.29
Distance,12.51,10.77
Distance,12.62,12.31
Distance,12.72,12.84
Distance,12.82,12.59
Distance,12.93,9.86
Distance,13.03,17.23
Distance,13.13,15.7
Distance,13.24,14.77
Distance,13.34,14.33
Distance,13.45,14.67
Distance,13.55,14.67
Distance,13.65,11.59
Distance,13.76,12.84
Distance,13.86,13.65
Distance,13.96,12.84
Distance,14.07,15.02
Distance,14.17,14.65
Distance,14.27,14.34
Distance,14.38,15.09
Distance,14.48,15.04
Distance,14.58,25.89
Distance,14.69,16.96
Distance,14.79,21.99
Distance,14.89,21.08
Distance,15.0,21.12
Distance,15.1,20.48
Distance,15.21,36.35
Distance,15.31,42.78
Distance,15.42,50.09
Distance,15.52,50.49
Distance,15.63,69.71
Distance,15.74,60.78
Distance,15.84,58.19
Distance,15.94,14.96
Distance,16.05,49.82
Distance,16.16,55.59
Distance,16.26,52.07
Distance,16.37,53.61
Distance,16.47,58.03
Distance,16.58,63.58
Distance,16.69,63.08
Distance,16.79,62.33
Distance,16.9,55.77
Distance,17.0,48.69
Distance,17.11,51.53
Distance,17.21,51.92
Distance,17.32,16.01
Distance,17.42,53.0
Distance,17.53,56.33
Distance,17.63,56.54
Distance,17.74,57.99
Distance,17.84,15.05
Distance,17.95,15.03
Distance,18.05,15.08
Distance,18.15,15.01
Distance,18.26,14.96
Distance,18.36,15.07
Distance,18.46,14.98
Distance,18.57,14.99
Distance,18.67,15.01
Distance,18.78,14.97
Distance,18.88,15.05
Distance,18.98,14.96
Distance,19.09,14.99
Distance,19.19,15.07
Distance,19.29,15.05
Distance,19.4,17.35
Distance,19.5,13.76
Distance,19.6,9.57
Distance,19.71,11.13
Distance,19.81,14.76
Distance,19.91,16.71
Distance,20.02,15.07
Distance,20.12,14.98
Distance,20.22,14.95
Distance,20.33,14.96
Distance,20.43,15.09
Distance,20.53,15.07
Distance,20.64,14.92
Distance,20.74,14.97
Distance,20.84,15.01
Distance,20.95,15.02
Distance,21.05,15.01
Distance,21.15,15.01
Distance,21.26,14.97
Distance,21.36,14.99
Distance,21.46,15.0
Distance,21.57,15.05
Distance,21.67,14.99
Distance,21.77,15.03
Distance,21.88,14.92
Distance,21.98,15.05
Distance,22.08,15.05
Distance,22.19,14.95
Distance,22.29,14.96
Distance,22.39,15.03
Distance,22.5,14.94
Distance,22.6,15.05
Distance,22.7,15.02
Distance,22.81,15.03
Distance,22.91,15.05
Distance,23.02,15.02
