Data,Time,Value
Percentage,0.01,35.58
Percentage,0.51,35.48
Percentage,1.02,35.48
Percentage,1.52,35.48
Percentage,2.02,35.48
Percentage,2.52,35.48
Percentage,3.02,35.48
Percentage,3.52,35.48
Percentage,4.02,35.48
Percentage,4.52,35.48
Percentage,5.02,35.48
Percentage,5.52,35.48
Percentage,6.02,35.48
Percentage,6.52,35.48
Percentage,7.03,35.48
Percentage,7.53,35.09
Percentage,8.03,35.48
Percentage,8.53,35.48
Percentage,9.03,35.29
Percentage,9.54,35.48
Percentage,10.04,35.48
Percentage,10.54,35.48
Percentage,11.04,35.48
Percentage,11.54,35.48
Percentage,12.04,35.48
Percentage,12.54,35.48
Percentage,13.05,35.48
Percentage,13.55,35.48
Percentage,14.06,35.48
Percentage,14.56,35.48
Percentage,15.06,35.48
Percentage,15.56,35.48
Percentage,16.06,35.48
Percentage,16.56,35.48
Percentage,17.06,35.48
Percentage,17.57,35.48
Percentage,18.07,35.48
Percentage,18.57,35.48
Percentage,19.07,35.48
Percentage,19.57,35.48
Percentage,20.07,35.58
Percentage,20.57,35.58
Percentage,21.07,35.48
Distance,0.08,399.35
Distance,0.21,382.3
Distance,0.33,399.36
Distance,0.46,382.72
Distance,0.58,382.73
Distance,0.71,383.15
Distance,0.84,399.27
Distance,0.96,399.34
Distance,1.09,399.8
Distance,1.22,399.84
Distance,1.34,399.79
Distance,1.47,399.32
Distance,1.59,399.73
Distance,1.72,399.76
Distance,1.85,399.34
Distance,1.97,399.74
Distance,2.1,381.9
Distance,2.22,381.85
Distance,2.35,382.26
Distance,2.47,381.45
Distance,2.6,381.06
Distance,2.73,399.29
Distance,2.85,382.79
Distance,2.98,399.37
Distance,3.1,381.49
Distance,3.23,399.32
Distance,3.36,399.35
Distance,3.48,381.91
Distance,3.61,382.79
Distance,3.73,399.41
Distance,3.86,399.36
Distance,3.99,399.44
Distance,4.11,399.38
Distance,4.24,399.35
Distance,4.36,399.79
Distance,4.49,399.82
Distance,4.62,399.39
Distance,4.74,399.85
Distance,4.87,399.83
Distance,4.99,381.94
Distance,5.12,399.82
Distance,5.25,399.4
Distance,5.37,398.99
Distance,5.5,399.41
Distance,5.63,382.32
Distance,5.75,399.42
Distance,5.88,381.92
Distance,6.0,399.38
Distance,6.13,399.37
Distance,6.26,399.72
Distance,6.38,399.32
Distance,6.51,399.83
Distance,6.63,382.72
Distance,6.76,399.74
Distance,6.89,399.33
Distance,7.01,399.79
Distance,7.14,399.79
Distance,7.27,398.92
Distance,7.39,399.36
Distance,7.52,382.71
Distance,7.64,399.38
Distance,7.77,399.41
Distance,7.9,399.36
Distance,8.02,399.42
Distance,8.15,382.3
Distance,8.27,399.74
Distance,8.4,380.97
Distance,8.53,399.33
Distance,8.65,399.79
Distance,8.78,400.18
Distance,8.9,382.26
Distance,9.03,399.37
Distance,9.16,399.76
Distance,9.28,399.42
Distance,9.41,381.9
Distance,9.53,382.75
Distance,9.66,399.35
Distance,9.79,399.34
Distance,9.9,115.29
Distance,10.02,399.29
Distance,10.15,399.39
Distance,10.28,399.45
Distance,10.4,399.37
Distance,10.53,399.34
Distance,10.66,399.33
Distance,10.78,382.74
Distance,10.91,399.39
Distance,11.03,382.36
Distance,11.16,382.31
Distance,11.28,383.13
Distance,11.41,399.79
Distance,11.54,399.78
Distance,11.66,383.18
Distance,11.79,382.29
Distance,11.91,399.79
Distance,12.04,399.8
Distance,12.17,399.73
Distance,12.29,382.33
Distance,12.42,399.79
Distance,12.54,399.37
Distance,12.67,399.8
Distance,12.8,381.92
Distance,12.92,382.35
Distance,13.05,399.35
Distance,13.17,399.35
Distance,13.3,399.31
Distance,13.43,399.42
Distance,13.55,399.4
Distance,13.68,399.77
Distance,13.8,380.22
Distance,13.93,381.52
Distance,14.06,382.8
Distance,14.18,379.34
Distance,14.31,381.52
Distance,14.43,399.37
Distance,14.56,381.94
Distance,14.68,383.17
Distance,14.81,383.23
Distance,14.93,399.81
Distance,15.06,381.95
Distance,15.19,383.17
Distance,15.31,382.76
Distance,15.42,61.17
Distance,15.54,381.48
Distance,15.67,381.45
Distance,15.79,381.9
Distance,15.92,399.38
Distance,16.05,399.8
Distance,16.17,381.5
Distance,16.3,399.39
Distance,16.42,381.86
Distance,16.55,381.5
Distance,16.67,381.88
Distance,16.8,381.9
Distance,16.92,399.41
Distance,17.05,381.54
Distance,17.18,399.8
Distance,17.3,399.77
Distance,17.43,399.81
Distance,17.55,382.31
Distance,17.68,382.36
Distance,17.8,382.74
Distance,17.93,383.18
Distance,18.05,381.94
Distance,18.18,381.9
Distance,18.3,382.33
Distance,18.43,381.96
Distance,18.56,381.89
Distance,18.68,382.33
Distance,18.81,381.14
Distance,18.93,383.18
Distance,19.06,381.45
Distance,19.18,381.92
Distance,19.31,399.36
Distance,19.43,380.8
Distance,19.56,382.92
Distance,19.68,381.2
Distance,19.81,381.17
Distance,19.94,382.07
Distance,20.06,380.79
Distance,20.19,380.83
Distance,20.31,381.2
Distance,20.44,381.6
Distance,20.56,382.08
Distance,20.69,383.77
Distance,20.81,383.83
Distance,20.94,382.94
Distance,21.06,381.6
Distance,21.19,399.94
Distance,21.32,382.53
