Data,Time,Value
Percentage,34.39,33.43
Percentage,34.89,33.43
Percentage,35.39,33.43
Percentage,35.89,33.43
Percentage,36.39,33.43
Percentage,36.89,33.43
Percentage,37.39,36.36
Percentage,37.89,56.01
Percentage,38.39,91.79
Percentage,38.9,99.9
Percentage,39.4,90.22
Percentage,39.9,64.81
Percentage,40.4,50.24
Percentage,40.9,33.82
Percentage,41.4,33.24
Percentage,41.9,16.32
Percentage,42.4,0.0
Percentage,42.9,0.0
Percentage,43.4,1.76
Percentage,43.9,11.73
Percentage,44.4,18.18
Percentage,44.9,22.68
Percentage,45.41,27.86
Percentage,45.91,33.14
Percentage,46.41,38.32
Percentage,46.91,42.52
Percentage,47.41,50.44
Percentage,47.91,56.3
Percentage,48.41,68.13
Percentage,48.91,78.3
Percentage,49.41,86.31
Percentage,49.91,86.61
Percentage,50.41,86.61
Distance,34.17,20.79
Distance,34.27,20.49
Distance,34.38,21.08
Distance,34.48,21.11
Distance,34.58,21.18
Distance,34.69,21.17
Distance,34.79,24.17
Distance,34.9,24.01
Distance,35.0,21.11
Distance,35.1,23.21
Distance,35.21,24.0
Distance,35.31,24.07
Distance,35.42,24.11
Distance,35.52,24.1
Distance,35.62,24.05
Distance,35.73,24.01
Distance,35.83,24.04
Distance,35.94,24.09
Distance,36.04,24.11
Distance,36.14,19.52
Distance,36.25,15.93
Distance,36.35,15.64
Distance,36.45,12.24
Distance,36.56,8.43
Distance,36.66,6.63
Distance,36.76,6.33
Distance,36.87,12.22
Distance,36.97,9.92
Distance,37.07,11.94
Distance,37.17,14.37
Distance,37.28,36.61
Distance,37.38,21.66
Distance,37.49,14.96
Distance,37.59,15.04
Distance,37.69,15.09
Distance,37.8,14.96
Distance,37.9,16.28
Distance,38.0,15.08
Distance,38.11,15.01
Distance,38.21,14.98
Distance,38.31,15.04
Distance,38.42,14.97
Distance,38.52,15.02
Distance,38.62,14.98
Distance,38.73,15.03
Distance,38.83,14.97
Distance,38.93,15.03
Distance,39.04,15.03
Distance,39.14,24.06
Distance,39.25,23.17
Distance,39.35,23.22
Distance,39.45,25.82
Distance,39.56,22.29
Distance,39.66,22.33
Distance,39.77,22.88
Distance,39.87,21.67
Distance,39.97,18.6
Distance,40.08,17.28
Distance,40.18,21.45
Distance,40.28,14.7
Distance,40.39,15.6
Distance,40.49,16.28
Distance,40.59,15.69
Distance,40.7,15.34
Distance,40.8,17.34
Distance,40.9,13.39
Distance,41.01,39.44
Distance,41.11,12.55
Distance,41.22,14.35
Distance,41.32,23.26
Distance,41.42,14.33
Distance,41.53,12.57
Distance,41.63,12.27
Distance,41.73,13.09
Distance,41.84,14.05
Distance,41.94,31.01
Distance,42.04,28.92
Distance,42.15,18.28
Distance,42.25,29.67
Distance,42.36,18.22
Distance,42.46,11.99
Distance,42.56,11.91
Distance,42.67,11.97
Distance,42.77,11.97
Distance,42.87,21.64
Distance,42.98,15.35
Distance,43.08,27.25
Distance,43.18,28.92
Distance,43.29,21.74
Distance,43.39,21.74
Distance,43.5,11.92
Distance,43.6,11.98
Distance,43.7,12.93
Distance,43.81,11.63
Distance,43.91,12.28
Distance,44.01,32.87
Distance,44.12,14.68
Distance,44.22,12.85
Distance,44.32,15.31
Distance,44.43,15.31
Distance,44.53,16.3
Distance,44.63,18.21
Distance,44.74,16.26
Distance,44.84,17.97
Distance,44.94,19.25
Distance,45.05,19.18
Distance,45.15,20.18
Distance,45.26,23.19
Distance,45.36,23.19
Distance,45.46,24.05
Distance,45.57,24.03
Distance,45.67,24.68
Distance,45.78,29.17
Distance,45.88,24.97
Distance,45.98,29.25
Distance,46.09,25.78
Distance,46.19,28.15
Distance,46.3,27.04
Distance,46.4,27.58
Distance,46.5,27.87
Distance,46.61,28.69
Distance,46.71,29.52
Distance,46.82,28.94
Distance,46.92,29.2
Distance,47.03,30.29
Distance,47.13,30.26
Distance,47.23,29.68
Distance,47.34,30.49
Distance,47.44,32.88
Distance,47.55,32.6
Distance,47.65,35.17
Distance,47.76,35.92
Distance,47.86,35.22
Distance,47.97,35.28
Distance,48.07,37.95
Distance,48.18,38.16
Distance,48.28,38.28
Distance,48.39,37.8
Distance,48.49,42.78
Distance,48.6,42.86
Distance,48.7,44.57
Distance,48.81,43.31
Distance,48.91,43.33
Distance,49.02,45.55
Distance,49.12,45.42
Distance,49.23,44.95
Distance,49.33,45.95
Distance,49.44,45.5
Distance,49.54,45.95
Distance,49.65,44.91
Distance,49.75,15.07
Distance,49.85,15.04
Distance,49.96,14.97
Distance,50.06,14.95
Distance,50.17,44.49
Distance,50.27,21.37
Distance,50.37,21.47
Distance,50.48,21.4
Distance,50.58,21.5
Distance,50.68,21.46
