Data,Time,Value
Percentage,0.28,41.45
Percentage,0.78,41.54
Percentage,1.28,41.54
Percentage,1.78,41.54
Percentage,2.29,41.54
Percentage,2.79,41.54
Percentage,3.29,41.54
Percentage,3.79,41.54
Percentage,4.3,41.54
Percentage,4.8,41.54
Percentage,5.3,41.54
Percentage,5.8,41.45
Percentage,6.3,48.0
Percentage,6.8,69.89
Percentage,7.3,87.98
Percentage,7.81,100.0
Percentage,8.31,100.0
Percentage,8.81,82.89
Percentage,9.31,71.07
Percentage,9.81,59.24
Percentage,10.31,45.26
Percentage,10.81,32.65
Percentage,11.31,26.3
Percentage,11.82,44.87
Percentage,12.32,59.73
Percentage,12.82,64.32
Percentage,13.32,73.8
Percentage,13.82,86.51
Percentage,14.32,100.0
Percentage,14.83,99.9
Percentage,15.33,100.0
Percentage,15.83,95.41
Percentage,16.33,69.6
Percentage,16.83,52.0
Percentage,17.33,39.88
Percentage,17.83,33.33
Percentage,18.34,33.24
Percentage,18.84,33.43
Distance,0.02,21.36
Distance,0.13,21.15
Distance,0.23,21.18
Distance,0.34,21.17
Distance,0.44,21.13
Distance,0.54,21.18
Distance,0.65,21.13
Distance,0.75,21.14
Distance,0.86,21.15
Distance,0.96,21.29
Distance,1.07,21.14
Distance,1.17,21.2
Distance,1.27,21.16
Distance,1.38,21.12
Distance,1.48,21.16
Distance,1.59,21.18
Distance,1.69,21.14
Distance,1.79,21.15
Distance,1.9,21.17
Distance,2.0,21.13
Distance,2.11,21.16
Distance,2.21,21.19
Distance,2.32,21.2
Distance,2.42,21.5
Distance,2.53,21.13
Distance,2.63,21.15
Distance,2.73,21.11
Distance,2.84,21.15
Distance,2.94,21.13
Distance,3.05,21.13
Distance,3.15,21.16
Distance,3.26,21.13
Distance,3.36,21.12
Distance,3.46,21.13
Distance,3.57,21.12
Distance,3.67,21.12
Distance,3.78,21.17
Distance,3.88,8.66
Distance,3.98,8.69
Distance,4.09,8.67
Distance,4.19,11.05
Distance,4.29,11.74
Distance,4.4,10.13
Distance,4.5,17.57
Distance,4.61,15.04
Distance,4.71,19.88
Distance,4.81,17.31
Distance,4.92,21.11
Distance,5.02,19.55
Distance,5.13,21.13
Distance,5.23,14.37
Distance,5.34,14.65
Distance,5.44,11.01
Distance,5.54,11.01
Distance,5.65,7.47
Distance,5.75,8.98
Distance,5.85,8.66
Distance,5.96,14.72
Distance,6.06,12.83
Distance,6.17,30.52
Distance,6.27,16.26
Distance,6.37,16.92
Distance,6.48,21.74
Distance,6.58,21.51
Distance,6.69,21.72
Distance,6.79,21.67
Distance,6.9,21.68
Distance,7.0,21.73
Distance,7.1,21.73
Distance,7.21,21.71
Distance,7.31,21.73
Distance,7.42,21.9
Distance,7.52,21.71
Distance,7.63,21.74
Distance,7.73,21.69
Distance,7.84,21.65
Distance,7.94,19.19
Distance,8.04,19.21
Distance,8.15,21.47
Distance,8.25,23.18
Distance,8.36,20.16
Distance,8.46,20.15
Distance,8.56,20.18
Distance,8.67,20.13
Distance,8.77,20.15
Distance,8.88,20.16
Distance,8.98,20.16
Distance,9.09,20.2
Distance,9.19,20.21
Distance,9.29,20.16
Distance,9.4,20.19
Distance,9.5,20.19
Distance,9.61,20.14
Distance,9.71,20.17
Distance,9.81,20.17
Distance,9.92,20.18
Distance,10.02,20.15
Distance,10.13,20.18
Distance,10.23,20.16
Distance,10.34,20.18
Distance,10.44,20.2
Distance,10.54,23.18
Distance,10.65,20.11
Distance,10.75,23.2
Distance,10.86,20.15
Distance,10.96,20.16
Distance,11.07,23.19
Distance,11.17,20.22
Distance,11.27,23.17
Distance,11.38,23.2
Distance,11.48,23.22
Distance,11.59,20.17
Distance,11.69,25.19
Distance,11.8,20.18
Distance,11.9,24.64
Distance,12.01,20.15
Distance,12.11,18.85
Distance,12.21,18.88
Distance,12.32,22.63
Distance,12.42,21.47
Distance,12.53,21.41
Distance,12.63,21.42
Distance,12.74,21.47
Distance,12.84,21.46
Distance,12.94,21.52
Distance,13.05,21.4
Distance,13.15,21.47
Distance,13.26,21.44
Distance,13.36,21.43
Distance,13.47,21.4
Distance,13.57,21.43
Distance,13.67,21.45
Distance,13.78,21.43
Distance,13.88,21.45
Distance,13.99,21.4
Distance,14.09,21.44
Distance,14.2,21.4
Distance,14.3,21.44
Distance,14.4,21.43
Distance,14.51,21.42
Distance,14.61,21.36
Distance,14.72,21.46
Distance,14.82,23.42
Distance,14.93,21.41
Distance,15.03,21.7
Distance,15.14,20.15
Distance,15.24,19.9
Distance,15.34,22.0
Distance,15.45,21.99
Distance,15.55,21.98
Distance,15.66,19.54
Distance,15.76,20.86
Distance,15.87,19.47
Distance,15.97,20.82
Distance,16.07,20.88
Distance,16.18,20.78
Distance,16.28,19.52
Distance,16.39,20.83
Distance,16.49,19.53
Distance,16.6,19.5
Distance,16.7,19.54
Distance,16.8,19.54
Distance,16.91,19.54
Distance,17.01,19.55
Distance,17.12,19.58
Distance,17.22,19.54
Distance,17.32,19.52
Distance,17.43,19.57
Distance,17.53,20.82
Distance,17.64,19.52
Distance,17.74,19.55
Distance,17.85,19.56
Distance,17.95,19.53
Distance,18.05,19.54
Distance,18.16,19.52
Distance,18.26,19.52
Distance,18.37,20.36
Distance,18.47,20.25
Distance,18.58,19.52
Distance,18.68,19.56
Distance,18.78,19.54
Distance,18.89,20.78
Distance,18.99,19.52
Distance,19.1,19.53
Distance,19.2,20.81
