Data,Time,Value
Percentage,23.58,35.39
Percentage,24.08,35.48
Percentage,24.58,35.48
Percentage,25.08,35.39
Percentage,25.59,35.58
Percentage,26.09,35.48
Percentage,26.59,35.29
Percentage,27.09,35.48
Percentage,27.59,35.48
Percentage,28.09,35.48
Percentage,28.59,35.58
Percentage,29.1,35.58
Percentage,29.6,35.48
Percentage,30.1,35.58
Percentage,30.6,35.48
Percentage,31.1,35.48
Percentage,31.6,35.48
Percentage,32.1,35.48
Percentage,32.61,35.48
Percentage,33.11,35.48
Percentage,33.61,35.48
Percentage,34.11,35.48
Percentage,34.61,35.48
Percentage,35.11,35.48
Percentage,35.62,35.48
Percentage,36.12,35.48
Percentage,36.62,35.58
Percentage,37.12,35.48
Percentage,37.62,35.58
Percentage,38.12,35.48
Percentage,38.62,35.48
Percentage,39.13,35.48
Percentage,39.63,35.48
Percentage,40.13,35.48
Percentage,40.63,35.48
Percentage,41.13,35.48
Percentage,41.63,35.48
Percentage,42.14,35.48
Percentage,42.64,35.48
Percentage,43.14,35.48
Percentage,43.64,35.48
Percentage,44.14,35.48
Percentage,44.64,35.48
Percentage,45.14,35.48
Percentage,45.65,35.58
Percentage,46.15,35.58
Percentage,46.66,35.48
Percentage,47.16,35.48
Percentage,47.66,35.48
Percentage,48.16,35.48
Percentage,48.66,35.48
Percentage,49.16,35.48
Percentage,49.66,35.58
Percentage,50.16,35.48
Percentage,50.66,35.48
Percentage,51.17,35.48
Percentage,51.67,35.48
Percentage,52.17,35.48
Percentage,52.67,35.48
Percentage,53.17,35.58
Percentage,53.67,35.48
Percentage,54.17,35.48
Percentage,54.67,35.58
Percentage,55.18,35.48
Percentage,55.68,35.48
Percentage,56.18,35.48
Percentage,56.68,35.48
Percentage,57.18,35.48
Percentage,57.68,35.48
Percentage,58.18,35.48
Percentage,58.68,35.39
Percentage,59.18,35.48
Percentage,59.68,35.58
Percentage,60.19,35.48
Distance,23.43,381.59
Distance,23.56,399.53
Distance,23.69,399.52
Distance,23.81,385.03
Distance,23.94,399.52
Distance,24.06,382.04
Distance,24.19,382.09
Distance,24.32,382.94
Distance,24.44,382.05
Distance,24.57,384.24
