Data,Time,Value
Percentage,0.25,86.61
Percentage,0.75,86.61
Percentage,1.25,86.51
Percentage,1.75,86.71
Percentage,2.25,86.61
Percentage,2.76,86.71
Percentage,3.26,86.61
Percentage,3.76,86.9
Percentage,4.26,93.35
Percentage,4.76,99.22
Percentage,5.26,100.0
Percentage,5.76,100.0
Percentage,6.26,100.0
Percentage,6.76,91.5
Percentage,7.26,83.38
Percentage,7.77,77.03
Percentage,8.27,70.48
Percentage,8.77,64.81
Percentage,9.27,58.36
Percentage,9.77,50.05
Percentage,10.27,49.07
Percentage,10.77,40.96
Percentage,11.27,39.49
Percentage,11.77,39.78
Percentage,12.27,39.69
Percentage,12.77,29.13
Percentage,13.28,18.67
Percentage,13.78,8.31
Percentage,14.28,0.1
Percentage,14.78,0.0
Percentage,15.28,0.0
Percentage,15.78,0.0
Percentage,16.28,6.06
Percentage,16.78,15.44
Percentage,17.28,18.77
Percentage,17.78,23.75
Percentage,18.28,27.17
Percentage,18.79,29.42
Percentage,19.29,33.63
Percentage,19.79,37.63
Percentage,20.29,41.84
Percentage,20.79,42.03
Percentage,21.29,42.13
Percentage,21.79,36.07
Percentage,22.29,22.39
Percentage,22.79,8.99
Percentage,23.29,0.0
Percentage,23.8,0.0
Distance,0.06,21.45
Distance,0.16,21.42
Distance,0.27,21.46
Distance,0.37,21.41
Distance,0.47,21.41
Distance,0.58,21.45
Distance,0.68,21.43
Distance,0.79,21.51
Distance,0.89,21.38
Distance,0.99,20.18
Distance,1.1,19.23
Distance,1.2,29.46
Distance,1.3,18.89
Distance,1.41,21.19
Distance,1.51,24.97
Distance,1.62,15.06
Distance,1.72,11.92
Distance,1.82,9.0
Distance,1.92,7.53
Distance,2.03,6.92
Distance,2.13,4.88
Distance,2.23,4.84
Distance,2.34,7.56
Distance,2.44,7.76
Distance,2.54,11.94
Distance,2.65,15.05
Distance,2.75,55.66
Distance,2.86,15.07
Distance,2.96,18.28
Distance,3.06,20.86
Distance,3.17,27.62
Distance,3.27,28.97
Distance,3.38,32.12
Distance,3.48,37.07
Distance,3.59,35.27
Distance,3.69,46.21
Distance,3.8,49.46
Distance,3.9,51.58
Distance,4.01,55.77
Distance,4.11,55.75
Distance,4.22,61.01
Distance,4.32,56.55
Distance,4.43,65.02
Distance,4.54,53.59
Distance,4.64,49.77
Distance,4.75,55.8
Distance,4.85,48.63
Distance,4.96,35.67
Distance,5.06,34.37
Distance,5.17,30.06
Distance,5.27,27.63
Distance,5.38,23.76
Distance,5.48,20.13
Distance,5.58,14.67
Distance,5.69,15.66
Distance,5.79,14.4
Distance,5.89,11.65
Distance,6.0,10.17
Distance,6.1,10.76
Distance,6.2,11.95
Distance,6.31,11.88
Distance,6.41,6.97
Distance,6.51,8.62
Distance,6.61,9.56
Distance,6.72,11.95
Distance,6.82,12.23
Distance,6.92,13.76
Distance,7.03,15.98
Distance,7.13,18.61
Distance,7.24,21.98
Distance,7.34,24.98
Distance,7.44,23.81
Distance,7.55,22.57
Distance,7.65,22.6
Distance,7.75,22.55
Distance,7.86,22.65
Distance,7.96,22.66
Distance,8.07,22.59
Distance,8.17,22.65
Distance,8.27,22.61
Distance,8.38,22.62
Distance,8.48,22.57
Distance,8.59,22.56
Distance,8.69,22.68
Distance,8.79,22.59
Distance,8.9,22.58
Distance,9.0,22.56
Distance,9.11,22.6
Distance,9.21,22.65
Distance,9.31,22.6
Distance,9.42,22.61
Distance,9.52,22.69
Distance,9.62,22.62
Distance,9.73,22.6
Distance,9.83,22.62
Distance,9.94,22.56
Distance,10.04,19.56
Distance,10.14,21.97
Distance,10.25,16.01
Distance,10.35,16.3
Distance,10.46,16.31
Distance,10.56,16.63
Distance,10.66,16.66
Distance,10.77,16.63
Distance,10.87,16.63
Distance,10.97,16.64
Distance,11.08,16.68
Distance,11.18,16.66
Distance,11.28,16.58
Distance,11.39,16.62
Distance,11.49,16.62
Distance,11.59,16.0
Distance,11.7,15.01
Distance,11.8,15.01
Distance,11.9,16.35
Distance,12.01,15.09
Distance,12.11,14.96
Distance,12.21,15.02
Distance,12.32,14.96
Distance,12.42,15.04
Distance,12.53,15.0
Distance,12.63,15.01
Distance,12.73,15.09
Distance,12.84,15.05
Distance,12.94,15.0
Distance,13.04,14.99
Distance,13.15,15.04
Distance,13.25,15.08
Distance,13.35,21.44
Distance,13.46,15.0
Distance,13.56,15.0
Distance,13.66,15.02
Distance,13.77,14.95
Distance,13.87,15.03
Distance,13.97,15.1
Distance,14.08,15.07
Distance,14.18,15.01
Distance,14.28,14.93
Distance,14.39,15.03
Distance,14.49,16.61
Distance,14.59,12.82
Distance,14.7,12.93
Distance,14.8,9.87
Distance,14.9,9.63
Distance,15.01,7.43
Distance,15.11,6.62
Distance,15.21,8.38
Distance,15.32,6.84
Distance,15.42,9.87
Distance,15.52,7.86
Distance,15.62,7.79
Distance,15.73,7.81
Distance,15.83,8.76
Distance,15.93,8.67
Distance,16.04,7.86
Distance,16.14,7.81
Distance,16.24,8.57
Distance,16.35,7.77
Distance,16.45,10.84
Distance,16.55,7.78
Distance,16.66,7.78
Distance,16.76,10.5
Distance,16.86,9.27
Distance,16.96,11.15
Distance,17.07,8.98
Distance,17.17,8.94
Distance,17.27,8.98
Distance,17.38,9.87
Distance,17.48,9.67
Distance,17.58,9.02
Distance,17.69,8.91
Distance,17.79,8.98
Distance,17.89,8.9
Distance,18.0,8.96
Distance,18.1,9.04
Distance,18.2,8.82
Distance,18.31,8.88
Distance,18.41,8.89
Distance,18.51,8.97
Distance,18.61,8.96
Distance,18.72,9.04
Distance,18.82,9.01
Distance,18.92,10.23
Distance,19.03,10.15
Distance,19.13,9.29
Distance,19.23,9.25
Distance,19.34,12.29
Distance,19.44,10.38
Distance,19.54,10.46
Distance,19.65,9.5
Distance,19.75,8.68
Distance,19.85,8.66
Distance,19.96,8.77
Distance,20.06,7.81
Distance,20.16,7.78
Distance,20.26,7.84
Distance,20.37,7.82
Distance,20.47,6.81
Distance,20.57,7.77
Distance,20.68,7.75
Distance,20.78,7.86
Distance,20.88,7.78
Distance,20.99,10.15
Distance,21.09,10.72
Distance,21.19,9.0
Distance,21.29,9.81
Distance,21.4,9.9
Distance,21.5,8.69
Distance,21.6,10.18
Distance,21.71,8.07
Distance,21.81,10.99
Distance,21.91,11.91
Distance,22.02,35.5
Distance,22.12,14.93
Distance,22.23,25.23
Distance,22.33,26.25
Distance,22.43,28.96
Distance,22.54,29.26
Distance,22.64,35.34
Distance,22.75,38.25
Distance,22.85,41.27
Distance,22.96,42.38
Distance,23.06,45.98
Distance,23.17,50.49
Distance,23.27,54.39
Distance,23.38,57.15
Distance,23.49,59.54
Distance,23.59,15.1
Distance,23.69,15.03
Distance,23.8,15.07
Distance,23.9,15.03
Distance,24.0,15.01
