Data,Time,Value
Percentage,1659054475.076,72.04
Percentage,1659054475.577,72.04
Percentage,1659054476.077,72.73
Percentage,1659054476.578,77.91
Percentage,1659054477.079,82.01
Percentage,1659054477.58,88.07
Percentage,1659054478.081,93.74
Percentage,1659054478.582,100.0
Percentage,1659054479.083,100.0
Percentage,1659054479.584,100.0
Percentage,1659054480.085,94.04
Percentage,1659054480.586,80.16
Percentage,1659054481.086,80.16
Percentage,1659054481.587,80.16
Percentage,1659054482.088,80.16
Percentage,1659054482.589,80.16
Percentage,1659054483.09,80.25
Percentage,1659054483.591,80.25
Percentage,1659054484.092,80.16
Percentage,1659054484.592,80.25
Percentage,1659054485.096,80.25
Percentage,1659054485.597,80.25
Percentage,1659054486.098,80.25
Percentage,1659054486.599,80.16
Percentage,1659054487.1,80.16
Percentage,1659054487.601,80.25
Percentage,1659054488.102,80.16
Percentage,1659054488.602,80.35
Percentage,1659054489.103,72.73
Percentage,1659054489.604,56.89
Percentage,1659054490.105,43.01
Percentage,1659054490.606,66.47
Percentage,1659054491.107,79.77
Percentage,1659054491.608,87.78
Percentage,1659054492.109,74.49
Percentage,1659054492.61,60.12
Percentage,1659054493.111,48.29
Percentage,1659054493.612,47.61
Percentage,1659054494.113,59.73
Percentage,1659054494.613,71.16
Percentage,1659054495.114,83.38
Percentage,1659054495.615,100.0
Percentage,1659054496.116,100.0
Percentage,1659054496.617,99.9
Percentage,1659054497.118,100.0
Percentage,1659054497.618,92.67
Percentage,1659054498.123,59.82
Percentage,1659054498.624,51.12
Percentage,1659054499.125,51.12
Percentage,1659054499.626,24.73
Percentage,1659054500.127,25.12
Percentage,1659054500.628,1.66
Percentage,1659054501.128,0.0
Percentage,1659054501.629,0.0
Percentage,1659054502.13,0.0
Percentage,1659054502.631,31.96
Percentage,1659054503.132,0.0
Percentage,1659054503.633,7.43
Percentage,1659054504.134,28.93
Percentage,1659054504.635,31.38
Percentage,1659054505.136,10.95
Percentage,1659054505.641,0.0
Percentage,1659054506.142,0.0
Percentage,1659054506.643,0.0
Percentage,1659054507.144,0.0
Percentage,1659054507.645,24.34
Percentage,1659054508.146,54.06
Percentage,1659054508.647,72.34
Percentage,1659054509.148,71.95
Percentage,1659054509.649,71.95
Percentage,1659054510.15,71.95
Percentage,1659054510.651,71.95
Percentage,1659054511.151,71.95
Percentage,1659054511.652,71.95
Percentage,1659054512.153,71.85
Distance,1659054474.822,58.3
Distance,1659054474.928,57.89
Distance,1659054475.053,400.44
Distance,1659054475.179,400.38
Distance,1659054475.305,400.73
Distance,1659054475.411,55.75
Distance,1659054475.537,400.32
Distance,1659054475.663,400.76
Distance,1659054475.768,45.22
Distance,1659054475.873,50.47
Distance,1659054475.979,55.77
Distance,1659054476.085,58.83
Distance,1659054476.191,55.91
Distance,1659054476.296,52.88
Distance,1659054476.402,49.65
Distance,1659054476.507,43.3
Distance,1659054476.613,55.92
