Data,Time,Value
Distance,0.08,396.02
Distance,0.19,131.43
Percentage,0.27,360.0
Percentage,0.77,360.0
Percentage,1.27,360.0
Percentage,1.78,360.0
Percentage,2.28,360.0
Percentage,2.78,360.0
Percentage,3.28,360.0
Percentage,3.78,360.0
Percentage,4.28,360.0
Percentage,4.78,360.0
Distance,0.3,188.81
Distance,0.42,186.18
Distance,0.55,396.77
Distance,0.67,397.66
Distance,0.85,1214.99
Distance,0.98,396.79
Distance,1.1,281.08
Distance,1.22,396.36
Distance,1.35,396.32
Distance,1.48,396.75
Distance,1.61,396.36
Distance,1.72,188.74
Distance,1.85,396.35
Distance,1.97,396.37
Distance,2.1,396.77
Distance,2.23,396.39
Distance,2.36,396.32
Distance,2.48,377.29
Distance,2.61,397.24
Distance,2.74,396.76
Distance,2.84,21.4
Distance,2.95,23.47
Distance,3.05,21.47
Distance,3.16,23.46
Distance,3.26,21.09
Distance,3.37,20.82
Distance,3.47,20.19
Distance,3.58,21.43
Distance,3.68,25.53
Distance,3.79,31.07
Distance,3.9,36.35
Distance,4.0,41.95
Distance,4.11,47.21
Distance,4.22,54.45
Distance,4.34,396.84
Distance,4.45,55.55
Distance,4.56,55.67
Distance,4.67,55.51
Distance,4.77,52.01
Distance,4.88,52.26
Distance,4.99,55.15
Distance,5.09,55.64
Distance,5.2,52.71
Percentage,5.28,360.0
Percentage,5.79,359.65
Percentage,6.29,360.0
Percentage,6.79,360.0
Percentage,7.29,360.0
Percentage,7.79,359.65
Percentage,8.29,360.0
Percentage,8.79,360.0
Percentage,9.3,360.0
Percentage,9.8,360.0
Distance,5.31,46.79
Distance,5.41,44.12
Distance,5.52,41.28
Distance,5.63,37.49
Distance,5.73,36.59
Distance,5.84,37.53
Distance,5.95,37.09
Distance,6.05,35.88
Distance,6.16,34.75
Distance,6.26,27.29
Distance,6.37,22.61
Distance,6.47,18.89
Distance,6.58,17.26
Distance,6.68,16.66
Distance,6.79,16.62
Distance,6.89,15.04
Distance,7.0,16.62
Distance,7.1,14.02
Distance,7.2,13.46
Distance,7.31,14.0
Distance,7.41,12.54
Distance,7.52,12.85
Distance,7.62,11.65
Distance,7.72,10.47
Distance,7.83,10.42
Distance,7.93,11.36
Distance,8.04,13.13
Distance,8.14,12.24
Distance,8.24,11.4
Distance,8.35,13.15
Distance,8.45,10.44
Distance,8.55,11.65
Distance,8.66,14.67
Distance,8.76,20.52
Distance,8.87,27.89
Distance,8.97,35.2
Distance,9.08,42.73
Distance,9.18,47.76
Distance,9.29,53.41
Distance,9.39,55.75
Distance,9.5,60.61
Distance,9.61,63.72
Distance,9.71,64.42
Distance,9.82,66.3
Distance,9.93,68.02
Distance,10.04,81.28
Distance,10.14,82.34
Distance,10.25,82.96
Percentage,10.3,360.0
Percentage,10.8,360.0
Percentage,11.3,360.0
Percentage,11.8,360.0
Percentage,12.3,360.0
Percentage,12.81,360.0
Percentage,13.31,360.0
Percentage,13.81,360.0
Percentage,14.31,359.65
Percentage,14.81,360.0
Distance,10.36,83.44
Distance,10.47,81.96
Distance,10.57,80.38
Distance,10.68,80.37
Distance,10.79,76.74
Distance,10.9,64.46
Distance,11.0,56.25
Distance,11.11,48.34
Distance,11.22,40.81
Distance,11.32,35.19
Distance,11.43,29.21
Distance,11.53,24.36
Distance,11.64,20.52
Distance,11.74,18.88
Distance,11.85,16.32
Distance,11.95,13.71
Distance,12.06,14.01
Distance,12.16,11.65
Distance,12.27,11.65
Distance,12.37,13.12
Distance,12.48,11.33
Distance,12.65,1215.68
Distance,12.78,397.31
Distance,12.91,396.85
Distance,13.08,1215.14
Distance,13.26,1215.18
Distance,13.38,398.15
Distance,13.56,1215.35
Distance,13.68,395.95
Distance,13.81,347.13
Distance,13.92,78.98
Distance,14.03,231.25
Distance,14.16,396.91
Distance,14.29,396.41
Distance,14.43,564.83
Distance,14.55,396.83
Distance,14.73,1215.09
Distance,14.9,1215.05
Distance,15.03,396.41
Distance,15.14,112.09
Distance,15.27,396.37
Percentage,15.31,360.0
Percentage,15.82,359.65
Percentage,16.34,360.0
Distance,15.4,396.84
Distance,15.53,396.4
Distance,15.7,1214.94
Distance,15.87,1215.02
Distance,16.0,395.96
Distance,16.13,398.55
Distance,16.26,376.86
Distance,16.37,189.6
Distance,16.5,395.98
