Data,Time,Value
Distance,21.568551063537598,22.94
Distance,21.674110412597656,21.43
Distance,21.77844524383545,21.73
Distance,21.883835077285767,29.2
Distance,21.98930525779724,28.97
Distance,22.094804286956787,29.5
Distance,22.20037865638733,31.57
Distance,22.30634379386902,35.0
Distance,22.41233205795288,35.9
Distance,22.51864004135132,36.81
Distance,22.624974489212036,38.0
Distance,22.730298042297363,17.93
Distance,22.834234476089478,16.61
Distance,22.938130855560303,16.64
Distance,23.044567823410034,45.16
Distance,23.15128231048584,47.01
Distance,23.258052349090576,48.38
Distance,23.36464500427246,48.95
Distance,23.47136163711548,49.46
Distance,23.58735942840576,49.8
Distance,23.69444179534912,50.35
Distance,23.80229878425598,50.98
Distance,23.90947198867798,51.15
Distance,24.01658010482788,51.56
Distance,24.124128580093384,56.77
Distance,24.231494188308716,54.46
Distance,24.338700771331787,56.34
Distance,24.445736169815063,55.58
Distance,24.552717447280884,55.61
Distance,24.659770965576172,56.31
Distance,24.766626596450806,57.16
Distance,24.87375521659851,56.64
Distance,24.98090100288391,57.02
Percentage,25.161537647247314,182.64
Percentage,25.662398099899292,182.64
Percentage,26.16359043121338,182.64
Percentage,26.67127251625061,182.64
Percentage,27.18150305747986,182.29
Percentage,27.682809352874756,182.64
Percentage,28.184095859527588,182.29
Percentage,28.68537712097168,182.64
Percentage,29.186655044555664,182.64
Percentage,29.687899589538574,182.64
Distance,25.0888512134552,57.49
Distance,25.196884155273438,57.88
Distance,25.303255558013916,58.47
Distance,25.410461902618408,58.71
Distance,25.5177218914032,59.32
Distance,25.624924182891846,59.02
Distance,25.73219609260559,59.34
Distance,25.839326858520508,57.85
Distance,25.946505546569824,57.64
Distance,26.05387783050537,55.62
Distance,26.160950899124146,48.77
Distance,26.28876543045044,403.83
Distance,26.416312217712402,405.6
Distance,26.543577671051025,404.21
Distance,26.67093515396118,404.72
Distance,26.79853653907776,404.68
Distance,26.925867795944214,404.74
Distance,27.053208112716675,404.26
Distance,27.181044578552246,405.16
Distance,27.308318376541138,403.84
Distance,27.415031909942627,63.74
Distance,27.521279335021973,55.75
Distance,27.647749662399292,403.42
Distance,27.77428674697876,404.24
Distance,27.90046191215515,400.26
Distance,28.020693063735962,297.95
Distance,28.131895303726196,141.9
Distance,28.258824825286865,404.23
Distance,28.3855082988739,400.68
Distance,28.512029886245728,404.71
Distance,28.638582468032837,402.96
