Data,Time,Value
Distance,22.66,19.23
Distance,22.77,19.24
Distance,22.87,14.99
Distance,22.98,15.36
Distance,23.08,19.23
Distance,23.19,19.16
Percentage,23.22,0.0
Percentage,23.72,0.0
Percentage,24.23,0.0
Percentage,24.73,0.0
Percentage,25.23,0.0
Percentage,25.73,0.0
Percentage,26.24,0.0
Percentage,26.74,0.0
Percentage,27.24,0.0
Percentage,27.74,0.0
Percentage,28.24,0.0
Distance,23.29,15.02
Distance,23.39,20.53
Distance,23.5,15.02
Distance,23.6,15.02
Distance,23.71,15.06
Distance,23.81,15.03
Distance,23.91,30.27
Distance,24.02,15.02
Distance,24.12,14.7
Distance,24.23,19.5
Distance,24.34,21.44
Distance,24.44,34.96
Distance,24.55,4.79
Distance,24.65,4.83
Distance,24.76,10.76
Distance,24.86,9.86
Distance,24.97,22.33
Distance,25.07,15.05
Distance,25.18,17.62
Distance,25.28,17.58
Distance,25.39,15.02
Distance,25.49,15.19
Distance,25.6,15.01
Distance,25.7,14.96
Distance,25.81,18.91
Distance,25.91,15.0
Distance,26.02,15.0
Distance,26.12,17.62
Distance,26.23,14.98
Distance,26.33,17.57
Distance,26.44,17.15
Distance,26.54,14.95
Distance,26.65,17.62
Distance,26.75,14.98
Distance,26.86,15.03
Distance,26.96,15.19
Distance,27.07,14.95
Distance,27.17,18.87
Distance,27.28,17.6
Distance,27.39,15.01
Distance,27.49,17.59
Distance,27.6,17.61
Distance,27.7,17.61
Distance,27.81,17.6
Distance,27.91,15.03
Distance,28.02,15.01
Distance,28.12,15.0
Distance,28.23,15.0
Percentage,28.74,0.0
Percentage,29.24,0.0
Percentage,29.75,0.0
Percentage,30.25,0.0
Percentage,30.75,0.0
Percentage,31.25,0.0
Percentage,31.75,0.0
Percentage,32.25,0.0
Percentage,32.76,0.0
Percentage,33.26,0.0
Distance,28.33,14.99
Distance,28.44,15.01
Distance,28.54,15.04
Distance,28.65,18.89
Distance,28.75,15.03
Distance,28.86,15.01
Distance,28.96,15.02
Distance,29.07,15.03
Distance,29.17,15.06
Distance,29.28,18.84
Distance,29.38,15.0
Distance,29.49,17.57
Distance,29.59,15.02
Distance,29.7,18.88
Distance,29.8,18.87
Distance,29.91,17.57
Distance,30.01,18.87
Distance,30.12,18.9
Distance,30.22,18.86
Distance,30.33,18.9
Distance,30.43,18.86
Distance,30.54,18.89
Distance,30.64,18.87
Distance,30.75,15.02
Distance,30.85,15.04
Distance,30.96,15.01
Distance,31.07,21.44
Distance,31.17,15.02
Distance,31.28,17.56
Distance,31.38,17.64
Distance,31.49,18.82
Distance,31.59,21.38
Distance,31.7,18.83
Distance,31.8,18.88
Distance,31.91,36.37
Distance,32.01,35.43
Distance,32.12,41.72
Distance,32.23,15.0
Distance,32.33,22.3
Distance,32.45,306.5
Distance,32.56,51.46
Distance,32.67,21.43
Distance,32.77,21.48
Distance,32.88,48.61
Distance,32.98,43.34
Distance,33.1,107.48
Distance,33.21,107.27
Percentage,33.76,0.0
Percentage,34.26,0.0
Percentage,34.78,0.0
Percentage,35.28,0.0
Percentage,35.79,0.0
Percentage,36.3,0.0
Percentage,36.8,0.0
Percentage,37.3,0.0
Percentage,37.8,0.0
Distance,33.31,42.76
Distance,33.42,47.81
Distance,33.52,48.95
Distance,33.63,48.18
Distance,33.74,47.83
Distance,33.84,48.98
Distance,33.95,35.2
Distance,34.05,34.98
Distance,34.16,35.85
Distance,34.26,28.67
Distance,34.44,1214.99
Distance,34.54,35.94
Distance,34.65,35.23
Distance,34.82,1214.88
Distance,34.92,43.72
Distance,35.03,44.79
Distance,35.14,45.54
Distance,35.24,44.11
Distance,35.35,43.72
Distance,35.52,1214.96
Distance,35.63,36.83
Distance,35.73,36.16
Distance,35.84,35.65
Distance,35.94,28.4
Distance,36.05,30.78
Distance,36.15,28.91
Distance,36.32,1215.01
Distance,36.43,37.31
Distance,36.54,40.56
Distance,36.64,43.72
Distance,36.75,48.57
Distance,36.85,53.62
Distance,36.96,58.43
Distance,37.07,64.27
Distance,37.17,71.07
Distance,37.28,78.6
Distance,37.39,87.34
Distance,37.5,92.11
Distance,37.61,98.5
Distance,37.72,103.92
Distance,37.82,56.21
Distance,37.93,111.37
Distance,38.04,108.12
Distance,38.15,188.86
Distance,38.26,97.09
Percentage,38.3,0.0
Percentage,38.81,0.0
Percentage,39.31,0.0
Percentage,39.81,0.0
Percentage,40.31,0.0
Percentage,40.81,0.0
Percentage,41.32,0.0
Percentage,41.82,0.0
Percentage,42.32,0.0
Percentage,42.83,0.0
Distance,38.37,94.42
Distance,38.48,83.05
Distance,38.59,73.66
Distance,38.69,72.44
Distance,38.8,59.89
Distance,38.91,55.22
Distance,39.01,49.06
Distance,39.13,153.99
Distance,39.23,37.75
Distance,39.34,28.97
Distance,39.44,31.27
Distance,39.55,33.15
Distance,39.65,35.76
Distance,39.76,35.02
Distance,39.86,39.15
Distance,39.97,44.96
Distance,40.07,49.46
Distance,40.18,51.73
Distance,40.29,55.59
Distance,40.39,59.11
Distance,40.5,68.08
